Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0035972,1.0066,-0.0090293,0,0,0,0.65516,0.00044925,-5.9638E-06,-8.843E-20,0.0013524,1.0103E-20,0.00095612,0,0,0,0,0,0,package://full_body.SLDASM/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_shoulder,-0.016723,-0.022627,0.0030898,0,0,0,0.077697,2.0332E-05,-3.293E-07,-7.9887E-07,2.7953E-05,-3.3855E-08,2.6008E-05,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fl_shoulder.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fl_shoulder.STL,,left_shoulder-1,Origin_fl_shoulder_joint,Axis_fl_shoulder_joint,fl_shoulder_joint,revolute,-0.18809,-0.038982,1.0175,1.5708,1.5708,0,base_link,0,1,0,0,0,0,0,,,,,,,,
fl_thigh,-0.030287,-0.029375,-0.0015653,0,0,0,0.091652,2.107E-05,7.3524E-06,3.0123E-06,6.1178E-05,-4.3644E-07,7.0035E-05,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fl_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fl_thigh.STL,,left_thigh-1,Origin_fl_upper_thigh_joint,Axis_fl_upper_thigh_joint,fl_upper_thigh_joint,revolute,-0.011125,-0.023,0.0101,-1.5708,0,-2.8135,fl_shoulder,0,1,0,0,0,0,0,,,,,,,,
fl_calf,-0.034445,-0.022687,0.0023738,0,0,0,0.086446,1.4878E-05,-4.2492E-07,-3.5948E-06,0.00011987,3.3312E-08,0.00012457,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fl_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fl_calf.STL,,left_calf-1,Origin_fl_lower_thigh_joint,Axis_fl_lower_thigh_joint,fl_lower_thigh_joint,revolute,-0.10288,-0.005,-0.0025,0,1.1819,0,fl_thigh,0,1,0,0,0,0,0,,,,,,,,
fr_shoulder,-0.0167231448134231,-0.0226528435011913,-0.00308978788806342,0,0,0,0.0776965557993421,2.03318316394635E-05,-3.29296835160004E-07,7.98874235426894E-07,2.7952676508177E-05,3.38551705773347E-08,2.60079742805002E-05,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fr_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fr_shoulder.STL,,right_shoulder-1,Origin_fr_shoulder_joint,Axis_fr_shoulder_joint,fr_shoulder_joint,revolute,-0.18809,0.057018,1.0175,1.5708,1.5708,0,base_link,0,1,0,0,0,0,0,,,,,,,,
fr_thigh,-0.0302869631953178,-0.0293750339010572,0.00156528908759646,0,0,0,0.0916515025957821,2.10701031177543E-05,7.35240616345423E-06,-3.01230962502584E-06,6.11778473451461E-05,4.36435773829826E-07,7.00348282018168E-05,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fr_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fr_thigh.STL,,right_thigh-1,Origin_fr_upper_thigh_joint,Axis_fr_upper_thigh_joint,fr_upper_thigh_joint,revolute,-0.011125,-0.0232,-0.0101,1.5708,0,-2.6666,fr_shoulder,0,1,0,0,0,0,0,,,,,,,,
fr_calf,-0.0344454986113377,-0.0226869436157242,-0.00237381613499421,0,0,0,0.0864459183615108,1.48777935604042E-05,-4.24915350086851E-07,3.59480723019534E-06,0.000119866124078708,-3.33117693593303E-08,0.000124573461348699,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fr_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/fr_calf.STL,,right_calf-1,Origin_fr_lower_thigh_joint,Axis_fr_lower_thigh_joint,fr_lower_thigh_joint,revolute,-0.10287,-0.005,0.0025,0,-1.3489,0,fr_thigh,0,1,0,0,0,0,0,,,,,,,,
bl_shoulder,-0.0167231448134231,0.0229731195760771,0.0030897878880634,0,0,0,0.0776965557993421,2.03318316394636E-05,-3.29296835160003E-07,-7.98874235426899E-07,2.7952676508177E-05,-3.38551705773356E-08,2.60079742805002E-05,0,0,0,0,0,0,package://full_body.SLDASM/meshes/bl_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/bl_shoulder.STL,,left_shoulder-2,Origin_bl_shoulder_joint,Axis_bl_shoulder_joint,bl_shoulder_joint,revolute,0.18231,-0.038932,1.0175,1.5708,1.5708,0,base_link,0,1,0,0,0,0,0,,,,,,,,
bl_thigh,-0.0302869631953189,-0.0293750339010568,-0.00156528908759967,0,0,0,0.0916515025957822,2.10701031177544E-05,7.35240616345429E-06,3.01230962502562E-06,6.11778473451463E-05,-4.364357738298E-07,7.0034828201817E-05,0,0,0,0,0,0,package://full_body.SLDASM/meshes/bl_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/bl_thigh.STL,,left_thigh-2,Origin_bl_upper_thigh_joint,Axis_bl_upper_thigh_joint,bl_upper_thigh_joint,revolute,-0.011125,0.0226,0.0101,-1.5708,0,-2.7858,bl_shoulder,0,1,0,0,0,0,0,,,,,,,,
bl_calf,-0.0344454986113197,-0.0226869436173797,0.00237381613502496,0,0,0,0.0864459183614932,1.48777935604568E-05,-4.24915358065006E-07,-3.59480723015865E-06,0.000119866124078621,3.33117687506484E-08,0.000124573461348588,0,0,0,0,0,0,package://full_body.SLDASM/meshes/bl_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/bl_calf.STL,,left_calf-2,Origin_bl_lower_thigh_joint,Axis_bl_lower_thigh_joint,bl_lower_thigh_joint,revolute,-0.10288,-0.005,-0.0025,0,1.2202,0,bl_thigh,0,1,0,0,0,0,0,,,,,,,,
br_shoulder,-0.0167231448134226,0.0229471564988094,-0.00308978788806335,0,0,0,0.0776965557993419,2.03318316394634E-05,-3.29296835160005E-07,7.98874235426894E-07,2.79526765081769E-05,3.3855170577341E-08,2.60079742805001E-05,0,0,0,0,0,0,package://full_body.SLDASM/meshes/br_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://full_body.SLDASM/meshes/br_shoulder.STL,,right_shoulder-2,Origin_br_shoulder_joint,Axis_br_shoulder_joint,br_shoulder_joint,revolute,0.18231,0.057068,1.0175,1.5708,1.5708,0,base_link,0,1,0,0,0,0,0,,,,,,,,
