timestamp,timestamp_ms,pos_fl_sh,pos_fr_sh,pos_bl_sh,pos_br_sh,pos_fl_th,pos_fr_th,pos_bl_th,pos_br_th,pos_fl_ca,pos_fr_ca,pos_bl_ca,pos_br_ca,cmd_pos_fl_sh,cmd_pos_fr_sh,cmd_pos_bl_sh,cmd_pos_br_sh,cmd_pos_fl_th,cmd_pos_fr_th,cmd_pos_bl_th,cmd_pos_br_th,cmd_pos_fl_ca,cmd_pos_fr_ca,cmd_pos_bl_ca,cmd_pos_br_ca,load_fl_sh,load_fr_sh,load_bl_sh,load_br_sh,load_fl_th,load_fr_th,load_bl_th,load_br_th,load_fl_ca,load_fr_ca,load_bl_ca,load_br_ca,curr_fl_sh,curr_fr_sh,curr_bl_sh,curr_br_sh,curr_fl_th,curr_fr_th,curr_bl_th,curr_br_th,curr_fl_ca,curr_fr_ca,curr_bl_ca,curr_br_ca,temp_fl_sh,temp_fr_sh,temp_bl_sh,temp_br_sh,temp_fl_th,temp_fr_th,temp_bl_th,temp_br_th,temp_fl_ca,temp_fr_ca,temp_bl_ca,temp_br_ca,bus_voltage_v,rpi_cpu_temp_c,rpi_cpu_percent,rpi_memory_percent,rpi_disk_percent,mode,cpg_phase,cmd_vx,cmd_vy,cmd_yaw
2026-01-03T19:13:08.005,3554209,0.0,-0.0015,-0.0031,0.0015,0.3636,0.3559,0.408,0.4357,-1.2701,-0.7563,-0.7655,-1.2686,0.004430838394910097,0.004430838394910097,-0.004430838394910097,-0.004430838394910097,0.33499956130981445,0.3950004577636719,0.45500046014785767,0.39499950408935547,-1.2402946949005127,-0.7734053134918213,-0.7734053134918213,-1.2402946949005127,0,-24,-24,-28,-20,-80,112,100,32,-52,100,-24,0,1,1,2,1,5,11,8,1,4,12,1,30,28,30,31,28,30,29,31,30,30,31,32,12.1,44.65,0.0,11.9,47.0,CPG_ONLY,0.0764,0.3000,0.0000,0.0000
2026-01-03T19:13:08.206,3554409,0.0077,0.0077,-0.0077,-0.0046,0.3267,0.3758,0.4433,0.3896,-1.2195,-0.8038,-0.7992,-1.2333,0.008593757636845112,0.008593757636845112,-0.008593757636845112,-0.008593757636845112,0.30681312084198,0.42318689823150635,0.48318690061569214,0.36681312322616577,-1.1241354942321777,-0.8895643949508667,-0.8895643949508667,-1.1241354942321777,20,-24,-24,0,-32,-180,136,52,52,-24,-20,-140,1,1,1,0,1,31,17,3,0,2,0,17,30,28,30,31,28,30,29,31,30,31,31,32,12.1,44.65,0.0,11.9,47.0,CPG_ONLY,0.1765,0.3000,0.0000,0.0000
2026-01-03T19:13:08.406,3554609,0.0077,0.0092,-0.0107,-0.0077,0.3007,0.4111,0.4709,0.3636,-1.0999,-0.9219,-0.9235,-1.1091,0.009466225281357765,0.009466225281357765,-0.009466225281357765,-0.009466225281357765,0.3009057641029358,0.42909425497055054,0.48909425735473633,0.3609057664871216,-0.9630725383758545,-1.0506274700164795,-1.0506274700164795,-0.9630725383758545,0,20,-24,0,20,-100,100,24,68,28,-20,-124,0,1,1,0,0,9,13,1,2,0,0,7,30,28,30,31,28,30,29,31,30,30,31,32,12.1,44.1,0.4,11.9,47.0,CPG_ONLY,0.2766,0.3000,0.0000,0.0000
2026-01-03T19:13:08.606,3554809,0.0123,0.0153,-0.0107,-0.0077,0.2945,0.4218,0.4817,0.3513,-0.9618,-1.0723,-1.0784,-0.9526,0.0067143221385777,0.0067143221385777,-0.0067143221385777,-0.0067143221385777,0.319538414478302,0.41046154499053955,0.47046154737472534,0.3795384168624878,-0.8187708854675293,-1.1949291229248047,-1.1949291229248047,-0.8187708854675293,24,-56,-24,0,72,0,-20,-124,172,68,-36,-140,1,2,1,0,6,0,0,16,16,0,0,10,30,28,30,31,28,30,29,31,30,30,31,32,12.1,44.1,0.4,11.9,47.0,CPG_ONLY,0.3767,0.3000,0.0000,0.0000
2026-01-03T19:13:08.806,3555009,0.0,0.0061,-0.0077,-0.0123,0.3007,0.4004,0.4617,0.359,-0.8253,-1.2134,-1.2164,-0.836,0.0013916464522480965,0.0013916464522480965,-0.0013916464522480965,-0.0013916464522480965,0.35557740926742554,0.3744226098060608,0.4344226121902466,0.41557741165161133,-0.7464796304702759,-1.2672202587127686,-1.2672202587127686,-0.7464796304702759,-32,-20,-40,52,160,28,-32,-192,196,40,-36,-260,2,0,3,3,31,1,1,36,26,0,1,50,30,28,30,31,28,30,29,31,30,30,31,32,12.0,44.1,0.4,11.9,47.0,CPG_ONLY,0.4768,0.3000,0.0000,0.0000
2026-01-03T19:13:09.007,3555209,0.0107,0.0015,-0.0015,-0.0123,0.3467,0.3605,0.431,0.4111,-0.7624,-1.2671,-1.2701,-0.7593,-0.004464051220566034,-0.004464051220566034,0.004464051220566034,0.004464051220566034,0.3952253460884094,0.3347746729850769,0.3947746753692627,0.4552253484725952,-0.773881196975708,-1.239818811416626,-1.239818811416626,-0.773881196975708,84,-24,-28,72,120,28,-76,-104,80,0,36,-72,5,1,1,6,17,0,4,12,7,0,2,6,30,28,30,31,28,30,29,31,30,30,31,32,12.1,44.65,0.0,11.9,47.0,CPG_ONLY,0.5770,0.3000,0.0000,0.0000
2026-01-03T19:13:09.207,3555409,0.0061,-0.0031,0.0015,-0.0046,0.3682,0.3252,0.3866,0.451,-0.8053,-1.218,-1.2364,-0.7992,-0.00861036404967308,-0.00861036404967308,0.00861036404967308,0.00861036404967308,0.42329931259155273,0.3067006468772888,0.3667006492614746,0.4832993149757385,-0.8904831409454346,-1.1232167482376099,-1.1232167482376099,-0.8904831409454346,64,-24,-32,56,212,32,-36,-96,28,-52,156,32,6,1,1,4,42,1,0,9,3,2,24,0,30,28,30,31,28,30,29,31,30,30,31,32,12.0,44.65,0.0,11.9,47.0,CPG_ONLY,0.6771,0.3000,0.0000,0.0000
2026-01-03T19:13:09.407,3555609,-0.0138,-0.0061,0.0015,-0.0046,0.408,0.3022,0.362,0.474,-0.9219,-1.0999,-1.106,-0.925,-0.00945991650223732,-0.00945991650223732,0.00945991650223732,0.00945991650223732,0.4290515184402466,0.30094850063323975,0.36094850301742554,0.4890515208244324,-1.051640510559082,-0.962059497833252,-0.962059497833252,-1.051640510559082,-44,-24,-48,72,100,0,-20,-84,-40,-96,116,20,2,1,3,7,9,0,1,7,0,2,7,0,30,28,30,31,28,30,29,31,30,30,31,32,12.1,44.65,0.0,11.9,47.0,CPG_ONLY,0.7772,0.3000,0.0000,0.0000
2026-01-03T19:13:09.607,3555809,-0.0015,-0.0061,0.0046,0.0031,0.4188,0.2991,0.362,0.4817,-1.0723,-0.9572,-0.9526,-1.0784,-0.006687490735203028,-0.006687490735203028,0.006687490735203028,0.006687490735203028,0.41027987003326416,0.3197200894355774,0.3797200918197632,0.47027987241744995,-1.195646047592163,-0.8180539608001709,-0.8180539608001709,-1.195646047592163,44,-20,-32,32,20,-56,28,24,-72,-160,140,56,2,0,1,2,1,4,1,0,0,12,11,0,30,28,30,31,28,30,29,31,30,30,31,32,12.1,44.65,0.0,11.9,47.0,CPG_ONLY,0.8773,0.3000,0.0000,0.0000
2026-01-03T19:13:09.808,3556009,-0.0031,-0.0107,0.0031,0.0031,0.4004,0.3083,0.3559,0.4617,-1.2042,-0.8176,-0.8391,-1.218,-0.0013545263791456819,-0.0013545263791456819,0.0013545263791456819,0.0013545263791456819,0.37417125701904297,0.3558287024497986,0.4158287048339844,0.43417125940322876,-1.2673673629760742,-0.7463325262069702,-0.7463325262069702,-1.2673673629760742,-20,40,20,0,0,-132,204,40,-136,-160,264,32,1,2,0,0,0,20,49,1,10,17,55,1,30,28,30,31,28,30,29,31,30,30,31,32,12.0,44.65,0.0,11.9,47.0,CPG_ONLY,0.9775,0.3000,0.0000,0.0000
