step,fl_shoulder_joint_rad,fr_shoulder_joint_rad,bl_shoulder_joint_rad,br_shoulder_joint_rad,fl_thigh_joint_rad,fr_thigh_joint_rad,bl_thigh_joint_rad,br_thigh_joint_rad,fl_calf_joint_rad,fr_calf_joint_rad,bl_calf_joint_rad,br_calf_joint_rad,fl_shoulder_joint_deg,fr_shoulder_joint_deg,bl_shoulder_joint_deg,br_shoulder_joint_deg,fl_thigh_joint_deg,fr_thigh_joint_deg,bl_thigh_joint_deg,br_thigh_joint_deg,fl_calf_joint_deg,fr_calf_joint_deg,bl_calf_joint_deg,br_calf_joint_deg,fl_shoulder_joint_servo,fr_shoulder_joint_servo,bl_shoulder_joint_servo,br_shoulder_joint_servo,fl_thigh_joint_servo,fr_thigh_joint_servo,bl_thigh_joint_servo,br_thigh_joint_servo,fl_calf_joint_servo,fr_calf_joint_servo,bl_calf_joint_servo,br_calf_joint_servo
14,-0.119034,-0.300000,-0.109256,-0.125190,-0.426647,-0.781213,-0.974445,-0.413382,1.558490,0.643277,-0.150000,1.570796,-6.820,-17.189,-6.260,-7.173,-24.445,-44.760,-55.832,-23.685,89.295,36.857,-8.594,90.000,1969.4,1851.4,1975.8,2128.6,2325.1,2556.3,1411.8,1777.5,3063.0,1627.6,2144.8,1023.0
15,-0.045387,-0.300000,-0.300000,-0.104333,-0.180930,-0.834781,-0.837635,-0.125060,1.307119,0.952771,-0.150000,1.570796,-2.600,-17.189,-17.189,-5.978,-10.367,-47.829,-47.993,-7.165,74.892,54.590,-8.594,90.000,2017.4,1851.4,1851.4,2115.0,2164.9,2591.2,1500.9,1965.5,2899.1,1425.9,2144.8,1023.0
16,-0.249422,-0.123891,-0.300000,-0.300000,0.102124,-1.018258,-0.797988,0.399577,0.303474,1.430590,-0.150000,1.570796,-14.291,-7.098,-17.189,-17.189,5.851,-58.342,-45.721,22.894,17.388,81.967,-8.594,90.000,1884.4,1966.2,1851.4,2242.6,1980.4,2710.8,1526.8,2307.5,2244.8,1114.4,2144.8,1023.0
17,0.059280,0.234799,-0.300000,0.300000,0.296303,-1.200000,-0.081087,0.600000,0.422660,1.439817,-0.150000,1.570796,3.396,13.453,-17.189,17.189,16.977,-68.755,-4.646,34.377,24.217,82.495,-8.594,90.000,2085.6,2200.1,1851.4,1851.4,1853.8,2829.3,1994.1,2438.1,2322.5,1108.4,2144.8,1023.0
18,-0.300000,0.025605,-0.300000,0.088400,0.244673,-0.647752,-0.505438,0.600000,1.570796,-0.150000,-0.150000,0.172165,-17.189,1.467,-17.189,5.065,14.019,-37.113,-28.959,34.377,90.000,-8.594,-8.594,9.864,1851.4,2063.7,1851.4,1989.4,1887.5,2469.3,1717.5,2438.1,3071.0,2144.8,2144.8,1934.8
19,0.258584,0.300000,-0.300000,0.300000,0.328628,-0.516313,0.191487,-0.254079,0.578880,-0.150000,0.898000,-0.150000,14.816,17.189,-17.189,17.189,18.829,-29.583,10.971,-14.558,33.167,-8.594,51.452,-8.594,2215.6,2242.6,1851.4,1851.4,1832.8,2383.6,2171.8,1881.4,2424.4,2144.8,1461.6,2144.8
20,0.273377,0.215463,-0.300000,0.300000,0.186614,-0.401703,0.008794,-0.607936,0.271261,0.156461,0.692170,-0.150000,15.663,12.345,-17.189,17.189,10.692,-23.016,0.504,-34.832,15.542,8.965,39.658,-8.594,2225.2,2187.5,1851.4,1851.4,1925.3,2308.9,2052.7,1650.7,2223.8,1945.0,1595.8,2144.8
21,0.197212,0.153481,-0.300000,0.300000,0.475366,-0.575673,0.064087,-0.434448,0.319631,-0.150000,0.848242,-0.150000,11.299,8.794,-17.189,17.189,27.236,-32.984,3.672,-24.892,18.314,-8.594,48.601,-8.594,2175.6,2147.1,1851.4,1851.4,1737.1,2422.3,2088.8,1763.8,2255.4,2144.8,1494.0,2144.8
22,0.098287,0.162959,-0.300000,0.300000,0.314148,-0.336588,0.135895,-0.165790,0.613877,-0.150000,0.644088,-0.150000,5.631,9.337,-17.189,17.189,17.999,-19.285,7.786,-9.499,35.173,-8.594,36.904,-8.594,2111.1,2153.2,1851.4,1851.4,1842.2,2266.4,2135.6,1938.9,2447.2,2144.8,1627.1,2144.8
23,0.082007,0.182816,-0.300000,0.300000,0.256078,-0.587380,0.133322,0.219611,0.684793,-0.150000,0.382474,-0.113064,4.699,10.475,-17.189,17.189,14.672,-33.654,7.639,12.583,39.236,-8.594,21.914,-6.478,2100.5,2166.2,1851.4,1851.4,1880.1,2429.9,2133.9,2190.2,2493.4,2144.8,1797.7,2120.7
24,0.056018,0.031451,-0.300000,0.300000,0.600000,-0.902335,0.397002,0.600000,0.552140,-0.150000,0.508886,-0.073122,3.210,1.802,-17.189,17.189,34.377,-51.700,22.747,34.377,31.635,-8.594,29.157,-4.190,2083.5,2067.5,1851.4,1851.4,1655.9,2635.2,2305.8,2438.1,2406.9,2144.8,1715.3,2094.7
25,-0.090420,-0.297353,-0.300000,0.150376,0.600000,-1.060395,-0.021028,0.600000,0.592271,0.210222,0.779128,-0.150000,-5.181,-17.037,-17.189,8.616,34.377,-60.756,-1.205,34.377,33.935,12.045,44.641,-8.594,1988.1,1853.2,1851.4,1949.0,1655.9,2738.3,2033.3,2438.1,2433.1,1910.0,1539.1,2144.8
26,-0.226129,-0.300000,-0.300000,-0.090249,0.600000,-0.874428,0.086319,0.600000,-0.070006,0.555170,1.118078,-0.150000,-12.956,-17.189,-17.189,-5.171,34.377,-50.101,4.946,34.377,-4.011,31.809,64.061,-8.594,1899.6,1851.4,1851.4,2105.8,1655.9,2617.0,2103.3,2438.1,2001.4,1685.1,1318.1,2144.8
27,-0.300000,-0.300000,0.300000,-0.295426,0.600000,-0.693669,0.489122,0.600000,-0.150000,1.351875,1.207163,-0.150000,-17.189,-17.189,17.189,-16.927,34.377,-39.744,28.025,34.377,-8.594,77.457,69.165,-8.594,1851.4,1851.4,2242.6,2239.6,1655.9,2499.2,2365.9,2438.1,1949.2,1165.7,1260.1,2144.8
28,-0.203340,-0.300000,0.300000,-0.271140,-0.242481,-1.162143,0.350634,-1.200000,1.565803,1.570796,-0.150000,1.570796,-11.651,-17.189,17.189,-15.535,-13.893,-66.586,20.090,-68.755,89.714,90.000,-8.594,90.000,1914.4,1851.4,2242.6,2223.8,2205.1,2804.6,2275.6,1264.7,3067.7,1023.0,2144.8,1023.0
29,-0.300000,-0.300000,0.300000,-0.114003,-0.156448,-0.501058,-0.872939,-0.630499,1.070879,0.981372,-0.150000,1.570796,-17.189,-17.189,17.189,-6.532,-8.964,-28.709,-50.016,-36.125,61.357,56.228,-8.594,90.000,1851.4,1851.4,2242.6,2121.3,2149.0,2373.6,1477.9,1636.0,2745.1,1407.2,2144.8,1023.0
